,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
39,71,1472.128493,4.92e-31,3.435e-11.0419.0440,343.96940.720.000000,X,1,X,0,O,15P,14,q50222049,110,9,4,0.0,27.0,29.0
40,71,1480.430658,7.7699999999999995e-31,3.990e-11.0459.0450,262.58270.720.000000,X,1,X,0,O,13P,13,q50422049,11010,4,0,25.0,27.0,
41,71,1480.430658,2.67e-29,1.371e-09.0459.0450,262.58270.720.000000,X,1,X,0,O,13P,13,d50422049,11010,4,0,25.0,27.0,
42,71,1482.472567,5.919999999999999e-29,3.595e-09.0459.0450,260.68240.720.000000,X,1,X,0,O,13O,12,q50422049,11010,4,0,21.0,25.0,
43,71,1482.497868,6.35e-29,3.554e-09.0459.0450,262.58270.720.000000,X,1,X,0,O,13O,13,q50422049,11010,4,0,23.0,27.0,
44,71,1482.512473,6.98e-29,3.558e-09.0459.0450,260.50090.720.000000,X,1,X,0,O,13O,14,q50422049,11010,4,0,25.0,29.0,
45,71,1484.398123,2.11e-29,1.173e-09.0459.0450,260.68240.720.000000,X,1,X,0,O,13P,12,d50422049,11010,4,0,23.0,25.0,
46,71,1484.398123,8.83e-31,4.909e-11.0459.0450,260.68240.720.000000,X,1,X,0,O,13P,12,q50422049,11010,4,0,23.0,25.0,
47,71,1492.58683,3.27e-29,1.433e-09.0475.0470,190.77480.720.000000,X,1,X,0,O,11P,11,d50422049,11010,4,0,21.0,23.0,
48,71,1492.58683,1.3299999999999999e-30,5.829e-11.0475.0470,190.77480.720.000000,X,1,X,0,O,11P,11,q50422049,11010,4,0,21.0,23.0,
49,71,1492.976766,4.15e-32,2.473e-12.0555.0550,79.60700.720.000000,X,1,X,0,M,7O,6,q50422049,11010,4,0,9.0,13.0,
50,71,1494.508576,1.42e-32,6.181e-13.0475.0470,188.85310.720.000000,X,1,X,0,O,11Q,10,d50422049,11010,4,0,21.0,21.0,
51,71,1494.6050710000002,7.08e-29,3.808e-09.0475.0470,188.85310.720.000000,X,1,X,0,O,11O,10,q50422049,11010,4,0,17.0,21.0,
52,71,1494.6324539999998,7.7e-29,3.740e-09.0475.0470,190.77480.720.000000,X,1,X,0,O,11O,11,q50422049,11010,4,0,19.0,23.0,
53,71,1494.648262,8.609999999999999e-29,3.746e-09.0475.0470,188.71340.720.000000,X,1,X,0,O,11O,12,q50422049,11010,4,0,21.0,25.0,
54,71,1496.5542,1.5399999999999998e-30,7.429e-11.0475.0470,188.85310.720.000000,X,1,X,0,O,11P,10,q50422049,11010,4,0,19.0,21.0,
55,71,1496.5542,2.47e-29,1.192e-09.0475.0470,188.85310.720.000000,X,1,X,0,O,11P,10,d50422049,11010,4,0,19.0,21.0,
