,0,1
0,2000.0,2.2722433899999997e-28
1,2001.0,3.987831649999999e-59
2,2002.0,1.66750908e-25
3,2003.0,5.2766607e-36
4,2004.0,1.7305250700000002e-22
5,2005.0,1.5919051300000002e-53
6,2006.0,3.1088539e-44
7,2007.0,5.028215929999999e-25
8,2008.0,1.59399729e-28
9,2009.0,3.01914518e-22
10,2010.0,3.27222029e-44
11,2011.0,7.77556172e-25
12,2012.0,1.1342025899999998e-48
13,2013.0,5.170706230000001e-22
14,2014.0,1.4752299099999998e-60
15,2015.0,5.41724902e-36
16,2016.0,6.16440945e-25
17,2017.0,2.91396377e-28
18,2018.0,8.680675789999999e-22
19,2019.0,5.031760209999999e-36
20,2020.0,3.09189261e-44
21,2021.0,9.16387057e-25
22,2022.0,3.81600824e-28
23,2023.0,1.42936049e-21
24,2024.0,4.266225679999999e-49
25,2025.0,2.50053136e-24
26,2026.0,4.89318478e-28
27,2027.0,3.5552791899999994e-36
28,2028.0,2.3096623399999997e-21
29,2029.0,8.47396323e-32
30,2030.0,3.5714257699999995e-24
31,2031.0,2.1524056100000004e-55
32,2032.0,6.99124785e-21
33,2033.0,8.867075850000001e-32
34,2034.0,2.6691639299999997e-24
35,2035.0,1.1717420699999997e-49
36,2036.0,4.36310665e-40
37,2037.0,1.0857472599999999e-20
38,2038.0,1.5477965699999997e-49
39,2039.0,3.65792215e-24
40,2040.0,4.41551163e-40
41,2041.0,8.73670721e-32
42,2042.0,8.646869929999999e-21
43,2043.0,4.90994532e-24
44,2044.0,6.925937199999999e-57
45,2045.0,8.122523739999999e-32
46,2046.0,1.2906814200000001e-20
47,2047.0,6.45070457e-24
48,2048.0,6.64468065e-45
49,2049.0,7.120960219999999e-32
50,2050.0,3.79458668e-40
51,2051.0,3.53354014e-20
52,2052.0,8.29292425e-24
53,2053.0,5.748985550000001e-32
54,2054.0,2.4557507799999995e-58
55,2055.0,5.0650005899999997e-20
56,2056.0,1.0430545199999999e-23
57,2057.0,4.05175499e-32
58,2058.0,2.1535637899999997e-51
59,2059.0,1.5161768799999998e-27
60,2060.0,3.80195755e-20
61,2061.0,1.2513830699999997e-59
62,2062.0,2.16227033e-40
63,2063.0,1.5365492499999997e-27
64,2064.0,5.2280827500000005e-20
65,2065.0,1.54085749e-23
66,2066.0,6.54041417e-36
67,2067.0,1.4976806699999997e-27
68,2068.0,2.1499935200000002e-32
69,2069.0,7.0421406e-20
70,2070.0,5.3393714000000004e-36
71,2071.0,1.3939554599999999e-27
72,2072.0,2.7213765899999996e-46
73,2073.0,9.28013799e-20
74,2074.0,8.64336489e-41
75,2075.0,1.2232053499999999e-27
76,2076.0,5.59599705e-36
77,2077.0,2.30105078e-23
78,2078.0,1.1960604800000001e-19
79,2079.0,9.88226552e-28
80,2080.0,9.042480679999999e-41
81,2081.0,2.4904374800000005e-23
82,2082.0,1.5093015300000002e-19
83,2083.0,6.9683147099999995e-28
84,2084.0,7.21801987e-67
85,2085.0,2.6142998899999998e-23
86,2086.0,1.8598792800000003e-19
87,2087.0,3.61952234e-28
88,2088.0,1.13331442e-55
89,2089.0,2.6524229e-23
90,2090.0,8.011087829999998e-48
91,2091.0,2.24037627e-19
92,2092.0,2.58935092e-36
93,2093.0,2.5886983800000003e-23
94,2094.0,3.69983767e-28
95,2095.0,2.6324966600000002e-19
96,2096.0,1.0293518199999998e-31
97,2097.0,2.41238569e-23
98,2098.0,7.280627710000001e-28
99,2099.0,3.01551642e-19
100,2100.0,3.42296237e-42
101,2101.0,2.11838079e-23
102,2102.0,2.44900446e-30
103,2103.0,3.3641660600000003e-19
104,2104.0,9.415705879999999e-37
105,2105.0,1.7128752399999996e-23
106,2106.0,8.05743783e-32
107,2107.0,3.6496969299999996e-19
108,2108.0,3.6864489099999995e-61
109,2109.0,1.2086892400000001e-23
110,2110.0,9.39487865e-37
111,2111.0,1.14580383e-50
112,2112.0,3.83723633e-19
113,2113.0,6.279327159999999e-24
114,2114.0,2.50877808e-51
115,2115.0,1.7068453300000001e-43
116,2116.0,3.8983095700000005e-19
117,2117.0,9.715573529999998e-44
118,2118.0,5.1301852400000006e-52
119,2119.0,1.8061718799999998e-27
120,2120.0,3.80950495e-19
121,2121.0,6.4192980599999994e-24
122,2122.0,3.2857721099999997e-32
123,2123.0,1.7613116899999998e-27
124,2124.0,3.5532725e-19
125,2125.0,2.5706764199999995e-32
126,2126.0,1.66596453e-27
127,2127.0,4.78684162e-38
128,2128.0,3.1227463399999994e-19
129,2129.0,3.02643636e-38
130,2130.0,1.53219293e-27
131,2131.0,1.47788465e-32
132,2132.0,2.526971e-19
133,2133.0,1.3723148399999998e-27
134,2134.0,2.0306206999999999e-32
135,2135.0,2.6943839799999996e-23
136,2136.0,1.7838151100000001e-19
137,2137.0,1.46351507e-32
138,2138.0,1.3021728899999998e-46
139,2139.0,9.27457154e-20
140,2140.0,5.535721289999999e-33
141,2141.0,4.71087336e-59
142,2142.0,3.09708877e-23
143,2143.0,8.518454549999998e-28
144,2144.0,1.3107669799999999e-39
145,2145.0,6.848239669999998e-61
146,2146.0,3.1212807699999996e-23
147,2147.0,9.480091920000001e-20
148,2148.0,1.3120088099999997e-63
149,2149.0,3.0392359099999997e-23
150,2150.0,3.3340664899999995e-29
151,2151.0,1.8651965800000001e-19
152,2152.0,4.31593674e-28
153,2153.0,2.87083988e-23
154,2154.0,7.284122230000001e-34
155,2155.0,2.7027928600000005e-19
156,2156.0,2.6354305699999997e-23
157,2157.0,4.5845257300000005e-34
158,2158.0,3.41589819e-19
159,2159.0,2.8313501600000003e-34
160,2160.0,2.3561964899999997e-23
161,2161.0,3.3746369499999997e-28
162,2162.0,3.9723563200000003e-19
163,2163.0,2.0540296899999997e-23
164,2164.0,2.42388456e-28
165,2165.0,3.20529551e-53
166,2166.0,4.35668263e-19
167,2167.0,1.7827729999999998e-28
168,2168.0,7.648544659999998e-43
169,2169.0,4.55931081e-19
170,2170.0,1.4535406400000002e-23
171,2171.0,4.693078999999999e-56
172,2172.0,1.9242066e-35
173,2173.0,4.58976943e-19
174,2174.0,1.0633426800000002e-35
175,2175.0,3.00274624e-44
176,2176.0,4.462439839999999e-19
177,2177.0,5.7692841599999995e-36
178,2178.0,1.1250309299999999e-60
179,2179.0,7.305760319999999e-24
180,2180.0,4.2094861e-19
181,2181.0,1.17821854e-29
182,2182.0,5.563441629999999e-24
183,2183.0,3.85860868e-19
184,2184.0,7.381000799999999e-30
185,2185.0,4.14951076e-24
186,2186.0,4.17076689e-37
187,2187.0,3.4441687899999993e-19
188,2188.0,5.6550555e-24
189,2189.0,2.5577076599999998e-28
190,2190.0,2.9955217100000005e-19
191,2191.0,2.6589199999999998e-24
192,2192.0,1.3887018899999999e-24
193,2193.0,2.54376809e-19
194,2194.0,1.5220214799999998e-24
195,2195.0,1.17796966e-49
196,2196.0,1.0438243899999999e-38
197,2197.0,2.1106946600000003e-19
198,2198.0,4.73300071e-39
199,2199.0,3.0026642499999994e-31
200,2200.0,1.71137598e-19
201,2201.0,1.5070507799999997e-52
202,2202.0,1.6497330199999999e-31
