,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
41,221,2107.6436320000003,6.99e-35,1.050e-08.0273.0270,3511.17410.200.000000,2,1,O,24q,344440,4,3,2,1,1,0,270.0,294.0
42,221,2108.574134,3.3369999999999996e-31,5.053e-09.0273.0270,1500.85180.200.000000,1,0,O,27q,344440,4,3,2,1,1,0,153.0,165.0
43,222,2111.0740579999997,2.62e-32,1.031e-05.0273.0270,1060.19820.200.000000,1,0,O,23q,344440,4,3,2,1,1,0,1692.0,1692.0
44,221,2114.445859,7.356999999999998e-39,1.685e-08.0274.0270,5451.16390.200.000000,3,2,O,20q,344440,4,3,2,1,1,0,222.0,246.0
45,221,2116.2266670000004,5.399e-35,1.082e-08.0273.0270,3416.82530.200.000000,2,1,O,23q,344440,4,3,2,1,1,0,129.0,141.0
46,221,2117.308615,1.102e-30,5.206e-09.0273.0270,1393.86550.200.000000,1,0,O,26q,344440,4,3,2,1,1,0,294.0,318.0
47,222,2119.400013,3.918e-32,1.039e-05.0273.0270,971.97310.200.000000,1,0,O,22q,344440,4,3,2,1,1,0,1620.0,1620.0
48,221,2122.844571,5.198e-39,1.737e-08.0291.0290,5373.15640.200.000000,3,2,O,19q,344440,4,3,2,1,1,0,105.0,117.0
49,221,2124.780993,1.633e-34,1.115e-08.0273.0270,3326.38290.200.000000,2,1,O,22q,344440,4,3,2,1,1,0,246.0,270.0
50,221,2126.015293,8.913999999999999e-31,5.364e-09.0273.0270,1290.81000.200.000000,1,0,O,25q,344440,4,3,2,1,1,0,141.0,153.0
51,222,2127.698428,5.74e-32,1.047e-05.0273.0270,887.56270.200.000000,1,0,O,21q,344440,4,3,2,1,1,0,1548.0,1548.0
52,221,2131.2133949999998,1.4369999999999998e-38,1.790e-08.0311.0310,5299.03220.270.000000,3,2,O,18q,344440,4,3,2,1,1,0,198.0,222.0
53,221,2133.306341,1.209e-34,1.149e-08.0273.0270,3239.85010.200.000000,2,1,O,21q,344440,4,3,2,1,1,0,117.0,129.0
54,221,2134.693899,2.8239999999999995e-30,5.526e-09.0273.0270,1191.68900.200.000000,1,0,O,24q,344440,4,3,2,1,1,0,270.0,294.0
55,222,2135.96905,8.234e-32,1.055e-05.0274.0270,806.96980.200.000000,1,0,O,20q,344440,4,3,2,1,1,0,1476.0,1476.0
56,221,2139.552061,9.716999999999999e-39,1.846e-08.0332.0330,5228.79400.340.000000,3,2,O,17q,344440,4,3,2,1,1,0,93.0,105.0
57,221,2141.802441,3.5049999999999998e-34,1.184e-08.0274.0270,3157.22980.200.000000,2,1,O,20q,344440,4,3,2,1,1,0,222.0,246.0
58,221,2143.344166,2.19e-30,5.693e-09.0273.0270,1096.50590.200.000000,1,0,O,23q,344440,4,3,2,1,1,0,129.0,141.0
59,222,2144.211628,1.156e-31,1.063e-05.0291.0290,730.19710.200.000000,1,0,O,19q,344440,4,3,2,1,1,0,1404.0,1404.0
60,221,2147.860298,2.5689999999999997e-38,1.904e-08.0354.0350,5162.44410.410.000000,3,2,O,16q,344440,4,3,2,1,1,0,174.0,198.0
61,221,2150.269023,2.485e-34,1.220e-08.0291.0290,3078.52490.200.000000,2,1,O,19q,344440,4,3,2,1,1,0,105.0,117.0
62,221,2151.965824,6.652e-30,5.867e-09.0273.0270,1005.26390.200.000000,1,0,O,22q,344440,4,3,2,1,1,0,246.0,270.0
63,222,2152.4259079999997,1.59e-31,1.071e-05.0311.0310,657.24710.270.000000,1,0,O,18q,344440,4,3,2,1,1,0,1332.0,1332.0
64,221,2156.137833,1.659e-38,1.965e-08.0375.0370,5099.98500.470.000000,3,2,O,15q,344440,4,3,2,1,1,0,81.0,93.0
65,221,2158.705818,6.893999999999999e-34,1.258e-08.0311.0310,3003.73830.270.000000,2,1,O,18q,344440,4,3,2,1,1,0,198.0,222.0
66,221,2160.558605,4.9439999999999995e-30,6.046e-09.0273.0270,917.96630.200.000000,1,0,O,21q,344440,4,3,2,1,1,0,117.0,129.0
67,222,2160.611637,2.1379999999999998e-31,1.079e-05.0332.0330,588.12220.340.000000,1,0,O,17q,344440,4,3,2,1,1,0,1260.0,1260.0
68,221,2164.384394,4.1830000000000003e-38,2.028e-08.0396.0400,5041.41900.520.000000,3,2,O,14q,344440,4,3,2,1,1,0,150.0,174.0
69,221,2167.112553,4.675e-34,1.297e-08.0332.0330,2932.87250.340.000000,2,1,O,17q,344440,4,3,2,1,1,0,93.0,105.0
70,222,2168.768563,2.81e-31,1.087e-05.0354.0350,522.82490.410.000000,1,0,O,16q,344440,4,3,2,1,1,0,1188.0,1188.0
71,221,2169.1222399999997,1.4379999999999998e-29,6.230e-09.0274.0270,834.61610.200.000000,1,0,O,20q,344440,4,3,2,1,1,0,222.0,246.0
72,221,2172.59971,2.574e-38,2.096e-08.0415.0420,4986.74790.570.000000,3,2,O,13q,344440,4,3,2,1,1,0,69.0,81.0
73,221,2175.488959,1.2389999999999999e-33,1.337e-08.0354.0350,2865.93000.410.000000,2,1,O,16q,344440,4,3,2,1,1,0,174.0,198.0
74,222,2176.8964309999997,3.61e-31,1.096e-05.0375.0380,461.35730.470.000000,1,0,O,15q,344440,4,3,2,1,1,0,1116.0,1116.0
75,221,2177.656457,1.0229999999999999e-29,6.420e-09.0291.0290,755.21600.200.000000,1,0,O,19q,344440,4,3,2,1,1,0,105.0,117.0
76,221,2180.783508,6.173999999999999e-38,2.167e-08.0433.0430,4935.97390.620.000000,3,2,O,12q,344440,4,3,2,1,1,0,126.0,150.0
77,221,2183.834763,8.025999999999999e-34,1.380e-08.0375.0370,2802.91320.470.000000,2,1,O,15q,344440,4,3,2,1,1,0,81.0,93.0
78,222,2184.994988,4.532e-31,1.104e-05.0396.0400,403.72150.520.000000,1,0,O,14q,344440,4,3,2,1,1,0,1044.0,1044.0
79,221,2186.160988,2.848e-29,6.620e-09.0311.0310,679.76900.270.000000,1,0,O,18q,344440,4,3,2,1,1,0,198.0,222.0
80,221,2188.9355140000002,3.6049999999999997e-38,2.244e-08.0448.0450,4889.09860.650.000000,3,2,O,11q,344440,4,3,2,1,1,0,57.0,69.0
81,221,2192.149695,2.029e-33,1.425e-08.0396.0400,2743.82420.520.000000,2,1,O,14q,344440,4,3,2,1,1,0,150.0,174.0
82,222,2193.063979,5.55e-31,1.113e-05.0415.0410,349.91930.570.000000,1,0,O,13q,344440,4,3,2,1,1,0,972.0,972.0
83,221,2194.635561,1.9369999999999998e-29,6.824e-09.0332.0330,608.27760.340.000000,1,0,O,17q,344440,4,3,2,1,1,0,93.0,105.0
84,221,2197.055455,8.183999999999999e-38,2.327e-08.0463.0460,4846.12380.680.000000,3,2,O,10q,344440,4,3,2,1,1,0,102.0,126.0
85,221,2200.433481,1.252e-33,1.473e-08.0415.0420,2688.66510.570.000000,2,1,O,13q,344440,4,3,2,1,1,0,69.0,81.0
86,222,2201.10315,6.629999999999999e-31,1.121e-05.0433.0430,299.95260.620.000000,1,0,O,12q,344440,4,3,2,1,1,0,900.0,900.0
87,221,2203.079906,5.150999999999999e-29,7.039e-09.0354.0350,540.74430.410.000000,1,0,O,16q,344440,4,3,2,1,1,0,174.0,198.0
